,"en","zh-CN","zh-TW","ja"
D_HK_LL0_2,"The landlord... I have lived here for so many years, but he doesn't have much of a story.","房东啊……这么多年一直住在这里，倒也没啥故事。","房東啊……這麼多年一直住在這裡，倒也沒啥故事。","大家さん…長年ここに住んでいますが、あまり話がありません。"
D_HK_LL0_3,"(Don't you have a job or something? You are really rich!)","（没有工作什么的吗？真是土豪啊！）","（沒有工作什麼的嗎？真是土豪啊！）","（仕事とかしてないの？本当にお金持ちなんですね！）"
D_HK_LL0_4,"Stop thinking about money all the time! [color=737692]The landlord also had a hard time[/color]. Isn't that how everyone lives?","别老是想着钱了！[color=737692]房东也有过一段苦日子[/color]，不都是这么过来的嘛！","別老是想著錢了！ [color=737692]房東也曾經有過一段苦日子[/color]，不都是這麼過來的嘛！","お金のことをいつも考えるのはやめましょう！ [color=737692]大家さんも大変でした[/color] みんなそうやって生きているんじゃないですか？"
D_HK_LL0_5,"You can actually tell what I'm thinking!","居然能看出来我在想什么！","居然能看出來我在想什麼！","実は私が考えていることが伝わってきます！"
D_HK_LL0_6,"Haha, your thoughts are written on your face...","哈哈，你的想法都写在脸上了……","哈哈，你的想法都寫在臉上了…","はは、あなたの思いは顔に表れています..."
D_HK_LL0_7,"Judging from your appearance, you must be an office worker...","看你的打扮，应该也是坐办公室的人吧……","看你的打扮，應該也是辦公室的人吧…","見た目からすると会社員なんでしょうね…。"
D_HK_LL0_8,"With all due respect, although you are also a person with a career, you are still a child in my eyes.","恕我直言，虽然你也是有事业的人了，但在我眼里毕竟还是个孩子。","恕我直言，雖然你也是有事業的人了，但在我眼裡畢竟還是個孩子。","敬意を表しますが、あなたもキャリアのある方ではありますが、私から見ればまだまだ子供です。"
D_HK_LL0_9,"Life is not that easy! Whether you have money or not...","生活不是那么容易的！有钱也好没钱也罢……","生活不是那麼容易的！ 有錢也好沒錢也罷…","人生はそんなに簡単ではありません！ お金があってもなくても…"
D_HK_LL0_10,"...(Why was I being preached to inexplicably...)","……（怎么莫名其妙地被说教了一番……）","……（怎麼莫名其妙地被說教了一番……）","…（なぜ私は意味不明に説教されてしまったのか…）"
D_HK_LL0_11,"I think you [wave]had some problems at work[/wave], so you came here to relax...","我想你应该也是[wave]工作上出了点问题[/wave]，才来到这里散心的吧……","我想你應該也是[wave]工作上出了點問題[/wave]，才來到這裡散心的吧…","あなたは[wave]仕事で問題があった[/wave]ので、リラックスするためにここに来たのだと思います..."
D_HK_LL0_12,"This is my own business!","这就是我自己的事情了！","這就是我自己的事情了！","これは私自身のビジネスです！"
D_HK_LL0_13,"Also, we were obviously talking about the landlord, but why did it suddenly get involved with me!","还有，明明是在聊房东的事情，怎么突然扯到我头上了！","還有，明明是在聊房東的事情，怎麼突然扯到我頭上了！","あと、明らかに大家さんの話だったんですが、なんで急に絡んできたんですか！"
D_HK_LL0_14,"Haha, you care so much about your privacy, can I tell you all about our family affairs?","哈哈，你都那么在乎自己的隐私，我还能把我们的家事全盘托出吗？","哈哈，你都那麼在乎自己的隱私，我還能把我們的家事全盤托出嗎？","あはは、あなたは自分のプライバシーをとても気にしているので、私たちの家族の事情についてすべて話してもいいですか？"
D_HK_LL0_15,"...(Ah, I was denied by my own words... Sure enough, I still don't want to reveal it...)","……（啊，被自己的话否定了…… 果然还是不愿意透露么……）","……（啊，被自己的話否定了…… 果然還是不願意透露麼……）","…（ああ、自分の言葉で否定された…やっぱり、まだ明かしたくない…）"
D_HK_HK0,,,,
